,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
660, lower dosages of various medications are recommended for the elderly.,Lower dosages of various medications are recommended for older people.," lower dosages of various drugs are recommended, please define that", lower doses of various medications are recommended for older people. Please,nan,Lower doses of various medications are recommended for the elderly. Lower
661, need information in different languages about breast feeding follows the who recommendation,Follow WHO recommendation to promote breastfeeding. Need information about breastfeeding in,nan, need for information in different languages ​​on breastfeeding follows WHO,Information on breastfeeding in different languages is needed to promote breastfeeding.,Follow the WHO recommendation to promote breastfeeding. Need information in different
662, i am taking metafolic plus caplet i know this,I take Metafolic Plus Caplet. I know it,i am taking metafolic plus caplet i know it,"I take Metafolic Plus tablets, I know it helps",nan,I am taking Metafolic Plus capsule. I know it
663,My thumb and forefinger hurt all the time nerves is there,"My thumb and index finger constantly hurt, the nerves, is",My thumb and index finger always hurt my nerves. Is there,"My thumb and index finger hurt all the time, are the",nan,My thumb and index finger hurt all the time because of nerves
664,i was the 1st baby girl to have this operation in,i had two injections in my feet yesterday 52214 the,nan,nan,nan,nan
665,i have always wondered if my husband had given me some kind,PAD: Does one of these help with keloids,nan,nan,nan,nan
666,Are there any suggestions for help or coping with beginning forgetfulness,Are there any suggestions for help or dealing with incipient forget,Are there any suggestions to help or deal with the onset of,healthy 84 year old woman looking for something to read about this,nan,I am a healthy 84 year old woman looking for something to
667,My luque rod fusion was done in 1991 and i,I am 36 years old and have no broken bones. my,i will be having a Reclast infusion for osteop,i am 36 years old and have no broken bones. my,nan,nan
668,My mother has been diagnosed with breast cancer. She is 84,My mother was just diagnosed with breast cancer. Her tumor started,My mother was just diagnosed with breast cancer she is 84.,nan,"My mother has just been diagnosed with breast cancer, she is",Her tumor started in her milk duct and is small in size
669,What is nephrotic syndrome what are its causes and,"What is nephrotic syndrome, what are its causes",What is nephrotic syndrome what are its causes and,"What is nephrotic syndrome, what are its causes","What is nephrotic syndrome, what are its causes",nan
670,Howdy yall im name i attained a diffused ax,"""I sustained a diffuse axonal brain injury 235 years ago",nan,nan,nan,nan
671,i want to know what kind of food i can eat because,"""I want to know what kind of food I can eat",i want to know what kind of food can i eat because,i want to know what kind of food can i eat because,Whenever I eat greasy food my stomach hurts or I have,Every time I eat greasy foods I get stomach pain and
672, headaches are many and varied could you describe the headache which preced,Can you describe the headaches that precede a stroke?,nan,nan,There are many types of headaches. Can you describe the headache,nan
673, is the medication trimethoprim sulfamethozle,Is the drug trimethoprim-sulfameth,nan, is trimethoprim sulfamethoxazole medicine,Is trimethoprim-sulfamethoxaz,Is trimethoprim sulfamethoxazole helpful
674,Why is my daily fluid intake limited to 2 liters?,I want to find a doctor who specializes in burning mouth syndrome,nan,nan,nan,nan
675,i am name my age 27 old i am from location two,"""I got infected with HIV-1 from my husband,""","""I have early stage HIV and my cell count is CD","""I got infected with HIV 1 from my husband"" ""","""I am 27 years old, I am from a place","""I have early stage of HIV 1. My cell count"
676,i have taken tritralac for years now it has,"I took Tritralac for years, but it has",I preferred tritralac because it was in pill form,Tritralac has been removed from the market.,I prefer tritralac because it is in pill form,I preferred Tritralac because it came in pill form
677,i think there something in the apremilast ingredient that,i think there is something in the apremilast ingredient,I think there is something in the ingredient apremilast,There is something in the ingredient of apremilast that,nan,I think there is something in the ingredient in apremil
678,i am just looking for a reliable source for a genetic research,Name is a student in year 11 doing a research topic on,nan,nan,nan,nan
679,i have kerataconus but my insurance does not cover,How long does the bottle of Releev last after opening,nan,nan,nan,nan
680,Vomiting blood clots very small amounts. vomiting blood,"Vomiting, blood clots, very small amounts.",nan,nan,Vomiting very small amounts of blood clots. V,nan
681,"""i need to learn how to live handicap i live",I have celiac disease and am very sensitive to small amounts,nan,nan,nan,nan
682,Is there a chance that my daughter can have an ectopic,Omega-3 acid capsule is now available as a generic,nan,nan,nan,nan
683,i was taking 600 mgm ms contin over a long period,I have a fibroadenoma. My question is can,nan,nan,nan,nan
684,My mother is 90 yrs old recent high blood pressure minor,"My mother is 90 years old, recently had high blood pressure","My mother is 90 years old, recently had hypertension and a","My mother is 90 years old, she recently had high blood",My mother is 90 years old and has high blood pressure and,My mother is 90 years old and recently had high blood pressure
685,Why and how does isotretinoin build up in the,Why and how does isotretinoin accumulate in the body,Why and how isotretinoin accumulates in the body,Why and how isotretinoin accumulates in the body,Why and how does isotretinoin accumulate in the body,Why and how does isotretinoin accumulate in the body
686,My son is in problem of neals so what i do,"I am looking for information on heat rash, specifically if it",nan,nan,nan,nan
