,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
642,clinicaltrialsgov question general information hello my name is namei,"clinicaltrialsgov Question General Information Hi, my name is Name",clinicaltrialsgov general information question hello my name is namei,"my name is Name, I am 30 years old and he currently","clinicaltrialsgov Question General Information Hi, my name is name","my name is Name, I am 30 years old and I am from"
643,i have been using a pessary for a,I have been using a pessary for a few,I have been using a pessary for several years ,I have been using a pessary for several years ,my prolapse has worsened during and after certain exercises ,nan
644,wolfram syndrome hi im a support worker for a 46,46-year-old autistic man was recently diagnosed with type,a social worker for a 46 year old autistic man,wolfram syndrome is a support worker for a 46 year,a support worker for a 46 year old autistic male,a support worker for a 46 year old autistic male
645,i have had a hysterectomy and now ,nan,nan,nan,nan,nan
646,my mother is 76 yo and has a lot of,my mother is 76 and has severe pain in her left hip joint,hip replacement surgery my mother is 76 and has parkinson',hip replacement surgery my mother is 76 and has parkinson',my mother is 76 and has severe pain in her left hip joint,my mother is 76 and has a lot of pain in her
647,i would really appreciate a recommendation as to where she could treat,my mother is in the situation described here httpwwwnlmn,the doctors who wrote the article are professionals and they could help me ,nan,my mother is in the situation described here httpwwwnlmn,my mother is in the situation stipulated here httpwwwnlm
648,i am a woman aged 59 and had triple heart bypass,i am a 59 year old woman and had triple bypass,59 year old female and had triple heart bypass in 2010 .,I am a 59 year old female and had a triple,59 year old woman had triple bypass in 2010 and has s,59 year old female and had triple heart bypass in 2010 .
649,id is a high school student currently in a science,genetically modified foods I am a high school student and am currently,genetically modified foods I am a high school student currently taking ,I am currently in high school in a science class called ID ,nan,high school student is currently in a science class called id
650,i had a gi doc diagnose me with candid,gastroenterologist diagnosed me with Candida in my eso,a gastroenterologist diagnosed me with candida in my ,a gastroenterologist diagnosed me with candidiasis,a gastroenterologist diagnosed me with esophage,a gastroenterologist diagnosed me with candida in my 
651,pten hi my name is name i have a 13,i have a 13 year old brother who is autistic,pten hi my name is name i have a 13,pten hello my name is name i have a 13,pten Hi my name is name i have a 13,nan
652,hepatitus a blood test how long does it take,nan,nan,nan,nan,nan
653,diet plan for patients having both cholesterol and diabetes dear sirmadam,could you send me a diet plan for patients with cholesterol and diabetes,could you please send me a diet plan for cholesterol and diabetes patients,could you send me a diet plan for patients with cholesterol and diabetes,can you please send me a diet plan for patients suffering from cholesterol,diet plan for patients suffering from cholesterol and diabetes dear sirmadam
654,insurance company dont recognise the condition by this name or nephro,insurance company does not recognize the condition under this name or ne,insurance company does not recognize the condition by this name or ne,insurance company does not recognize the condition under this name or ne,insurance company does not recognize the name of nephrosto,insurance company does not recognize the condition by this name or ne
655,i have a big problem of bloating and now its,nan,nan,nan,nan,nan
656,husband had a simple retropubic prostectomy he can not,nan,nan,nan,nan,nan
657,appendix problems affect people in the genetic family .,nan,nan,nan,nan,nan
658,cat scan shows a clump of blood vessels infected,nan,nan,nan,nan,nan
659,hi i had this surgery 10 years ago as a result of,my surgeon didn't think it had anything to do with the surgery,hi i had this surgery 10 years ago for thyroid cancer .,i had this surgery 10 years ago for thyroid cancer . ,i had this surgery 10 years ago for thyroid cancer . ,i had this surgery 10 years ago as a result of thyroid
660,lower dosages of various medications are recommended for the elderly please define that,lower dosages of various medications are recommended for older people . please,"for the elderly, lower dosages of various drugs are recommended .",lower doses of various medications are recommended for older people . please,nan,lower doses of various medications are recommended for the elderly . please
661,need information in different languages about breast feeding follows the who recommendation to promote,need information about breastfeeding in different languages . follow WHO recommendation to promote,nan,need for information in different languages on breastfeeding follows WHO recommendation to promote breastfeeding,information on breastfeeding in different languages is needed to promote breastfeeding following WHO recommendations,need information in different languages about breastfeeding . follow the WHO recommendation to
662,metafolic plus caplet i know this helps memory of the,Metafolic Plus Caplet improves brain memory . what else,metafolic plus caplet i know it helps brain memory what,Metafolic Plus tablets help the brain memory . how else does,nan,Metafolic Plus capsule helps with brain memory . how else does
663,my thumb and forefinger hurt all the time nerves is,"my thumb and index finger constantly hurt, the nerves, is there",my thumb and index finger always hurt my nerves is there any medicine,"my thumb and index finger hurt all the time, are the nerves",nan,my thumb and index finger hurt all the time because of nerves 
664,i had pyloric when i was a,nan,nan,nan,nan,nan
665,a lot of yrs ago i went to my,nan,nan,nan,nan,nan
666,are there any suggestions for help or coping with beginning forgetfulness age,are there any suggestions for help or dealing with incipient forgetfulness,age 84 healthy female looking for something to read about this problem has,has not been diagnosed with any disease of the body or brain .,nan,is there any suggestions to help or cope with the onset of forget
667,my luque rod fusion was done in 1991 and ,my Luque rod fusion was done in 1991 and I will be,my spinal fusion was in 1991 and i will be having ,luque rod fusion was done in 1991 and i,nan,nan
668,breast cancer at 84 my mother was just diagnost with breast cancer,my mother was just diagnosed with breast cancer . her tumor started in,breast cancer at 84 my mother was just diagnosed with breast cancer she,nan,"my mother has just been diagnosed with breast cancer, she is 84",my mother has just been diagnosed with breast cancer . her tumor started
